N°,Cheval,S/A,Gain,Dernières performances
1,LONE TIME DU POUEY,4,11960,1 4 8 10
2,NAXOS,,,
3,FOREST DU PECOS,4,7150,3 4 9 6 8 2
4,EDWARDS DU LIA,4,5980,10 2
5,NOUGARO,4,17020,1
6,BORN IN LAGARDE,4,1110,6
7,MOSSARY,4,37970,10 5 1 1 3 2 2 2
8,BLUE LAGOON,4,,10 10 10
9,LIZONNE,4,1665,5 6 2 5
