N°,Cheval,S/A,Gain,Dernières performances
1,INDULGENTE,7,97325,5 4 10 7 2 4 10  2 1  10 1 3
2,BARON ZANZI,6,130460,3 3 10 7 10 7 2 2 3 3 1 1
3,INVITE DE MARQUE,7,165830,7 5 10 2 7 10 1 2 6  5 3 10
4,HADDEXA DES OBEAUX,8,144813,9 5 10 3 5 7 1  10 5 2 7 4
5,IGUANE DES ONGRAIS,7,60410,3 4 10 3 3 2 1 2  8  4 1 4
6,SAFE FLIGHT,7,57710,2 9  2 2  3 10 1 2 4  10
7,FAN OF SEA,10,116240,3 7  5 1 1 1 3 4 10 3 10 10
8,FIRST MARVEL,5,12375,5 1 5 10 9  4
9,TICATAN DUCORMIER,6,13750,4 4  4 2 5  3 3 9 5
10,HAPPY DE REVE,8,149835,3 2 7 4 7 6 6 10  4 3 3 3
11,FRIPON DU SEUIL,10,87780,4 2 5  6 10 7 10 3  4 1 5 3
12,DEAR WEAVER,5,74210,1 6 6 3 8 10 10 6 8 4 3  10
13,MARE SOL,,,
14,JEU DE PISTE,6,1590,10 10  7 10 7
15,INLE DE LA NOVERIE,7,43595,1 2 4 2 2  6 2 4  5 9 2 10
16,BISTROT HAS,6,47650,3 3 3 7 5 10 6  2 3 3 2 3
17,GRIOTTE DES CHAMPS,9,76451,2 2 2 5 10  2 3 10 1 2 1  6
18,DA VINCI DEL RAIS,,,
