N°,Cheval,S/A,Gain,Dernières performances
1,JOYAU DE JANZE,6,75660,10  2 4 3 1 10 1 1 1 10 3 10
2,ILVICA DE HOUELLE,7,86800,3 10 10 0 6 10 6 10 10 9 0 7
3,JAG MAHCATH,6,96670,1 10 0 6 4 10 1 1  1 6 10 5
4,JAD DE CALIX,,,
5,GITAN DU LUPIN,9,102350,3 0 9 8 6 8 5 0 7 10 9  5
6,JACQUARD,6,102800,10 0 0 0 1  1 4 9 8 10 2 1
7,ILLICO DE LOU,7,107140,4 4 1 5 0 10 10 10 6 3  7 10
8,IQUEM NARCY,7,108410,2 10 10 1 10 1 2 10 3 3 10 10
9,JOLI MANNEQUIN,6,108505,0 7 3 9 2 9 4 1 3 10 9  4
10,JIRI PACHA,,,
11,IQUITA VILI,7,113710,10 10 2 4 3 6 0 10 10 9 8  3
12,HERCULE DU PARC,8,114690,7 8 0 5 8 7 4 9 4 6 2 7
13,GERONIMO STARDUST,9,114895,6 1 4 2 7 9 8 10 5 10 0 10
14,FUN DE BANVILLE,10,118545,2 10 4 10 10 7 10 10 9 4 0 0
15,GOLIATH DU RIEU,,,
16,FAKIR DU TRESOR,10,120755,0 6 8 2 8 7 8 0 10 0 4 8
