N°,Cheval,S/A,Gain,Dernières performances
1,JADE HERINIERE,6,89510,0  9 1 0 9 0 5 1 4 3 0  3
2,JUST A DREAM,6,88365,10 2 7 4 3 4 3 2 1 4 0 6
3,JASPE DU DOLLAR,6,87585,10 10 0 10 2 2 10 3 1 10 2 10
4,JUST PRINCESS,6,87360,9 1 4 10 1 2 1 7 10 9  10 10
5,JOCELYNE,6,89602,1 2 2 10 8 10 3 1 2  5 4 3
6,JOKER GEMA,6,88700,4 2 10 0 4 3 2 1 4 0 0  3
7,JAGUAR DJOB,6,88885,5 8 4 0 8 4 2 9 0 7  1 6
8,JOUR DE GLOIRE,6,88240,10  6 6 5 3 0 0 7 4 10 10 9
9,JUST A COUET,6,85005,2 7 3 2 2  6 3 10 1 1 1 1
10,JET GIRL,6,75490,10 10 0 7 2 1 5 10 10  10 3 1
11,JALACTIC,6,85105,3 1 5 2 1 3 1 5 1 3 10 10
12,JINA FOUTEAU,6,86450,2 7 7 7 7 3 2 2 9 10 4  1
13,INDUCTIF,7,79833,0 0 0 10 10 10 10 3 2 8 2  4
14,JUAN CARLOS GIFONT,6,72252,10 0 0 5 7 0 2 4 4 10 4 9
