N°,Cheval,S/A,Gain,Dernières performances
1,KARINE LOVER,5,7750,10  10 10 1 5 9 0 3
2,KANDY CHAMPOSOULT,5,7990,9 2 6 7 2 5 10 6  6 10 6 10
3,KAYA KYDE,5,8030,5 0 3 10 4 10 6 0 6 5 4 10
4,KETMIE DE BABEL,,,
5,KINA FOUTEAU,5,10935,4 10 0 1 2 4 10 9
6,KASCADE,5,13000,4 10 9 0 2 9 2 5 6 9  9 3
7,KANARY BAY,5,14145,10 10 6 10 4 10 4 10 7 2 5 10
8,KALHETA DU FETZ,5,14665,5 4 4 4 4 10 5 2 9 0 8 10
9,KISS ME MATCH,5,14820,0 10 1 10 10 10 10 5 1 4 10 10
10,KITTY HAWK,5,14935,0 4 7 3 0 2 0 10 9 10 2 3
11,KARLOTTA FLIGNY,5,15305,8 5 10 5 1 10 10 10 10 5 1 10
12,KILLING GIRL,5,25115,0 6 4 6 1 2 10 3  10 9 1 10
13,KIARA MAURICIENNE,5,28120,6 0 10 2 2 1  2 1 10 10
14,KUNAMATATA,5,28200,10 7 7 2 1 10 4 3 2  2 2 7
15,KALIKA DU LEVANT,5,28935,7 7 10 4 3 5 0 0  0 8 9 6
16,KERAMIDA,5,30020,4 0 10 3 3 3 3 10 6 8 10 0
17,KATINKA COTON,5,31705,1 9 4 1 10 5 4 10 5 10 10 2
18,KELLY CHALEONNAISE,5,32040,10 0 4 6 9 1 4 10 10 3 10 10
