N°,Cheval,S/A,Gain,Dernières performances
1,PENRHEAD,,,
2,NOROLLES,5,22875,10 10 9 3 2 2 4 3 4 3 8 7
3,BALGEES TIME,9,130331,7 2 7 4 4 2 1 10 6 3  10 4
4,KARKHOV,7,60970,10 10 9 9 10 10 10 10 9 1 10 8
5,ATHELIA,6,44100,4 10 3 7 1 9 7 8 2 2 9 6
6,VOYAGEUSE DU MATIN,6,11700,10 10 10 10  10 8 10 10 10 10 6 9
7,ARMORIGENE,8,111590,6 10 3 10 10 10 7 10 10 3 3 9
8,GABIJA,5,25775,7 10 10 10 10 3 5 7 5 10 3 10
9,DIRTY DOZEN,9,67009,2 10 8 9 8 5 5 7 6  10 1 10
10,PENSE A MOI,5,3450,5 5 7 4 8 10 10 10 10 6 5
11,GRISGRISES,9,67105,6 7 4 5 9 10 5 8 7 6 10  10
12,LE RAFALE,10,112650,10 4 10 10 9 10 9 10  10 6 7 3
13,MA CHERIE AMOUR,7,38156,5 8 9 10 6  8 3 7 10 10 2 10
14,FAN ZONE,9,96540,10 10 10 10 5 4  9 4 4 8 5 3
15,MAGIC CUP,5,12900,10 10 10 8 8 10  4 4 2 8 1 3
16,HEART BRAKER,8,15650,10 10 10 10 10 10 10 8 10 10  5
