N°,Cheval,S/A,Gain,Dernières performances
1,IVINDO DU BOCAGE,7,73070,0 0 8 9  2 0 3 0 6 9 1  1
2,IBRA TEJY,7,74190,0 9 9 0 10 4 6 4 2 1 10 10
3,INDIRISS,7,75510,9 0 2 2 5 10 10 6 4 10 10 6
4,HASTA LUEGO PHEDO,8,75760,1 1 7 7 0  1 8 6 0 7 5 3
5,IMAKO VERDERIE,7,76595,9 10 2 2 4 2 6 8 0 3 10  4
6,INSTANT DU BOIS,7,76920,5 5 10 1 10 2 10 5 10 10 2 1
7,ILCAPITANO DU PARC,7,152445,1 1 3 2 1 2 1 2 1 6 4 0
8,HURLEVENT,8,152915,10 6 10 10 8 10 1 1 10 1 6 2
9,INES QUICK,7,155995,10 10 1 1 1 10 7 10 1 3 5 4
10,IDEAL DE RIVRAY,7,156240,1 1 7 10 7 4 0 1 10 10 5 2
11,GUESS FOUTEAU,9,156450,5 10 1 6 10 6 3 6 6 4 3 7
12,HAUDATIS,8,157125,8 6 6 1 0 3 2 1 10 7 5 9
