N°,Cheval,S/A,Gain,Dernières performances
1,SOGYNT,6,63770,3  5 2 1 7 7 6 8 9 8 7 7
2,L'AIGLE,8,89195,10  4  3 5 2 2 1 2 3  10
3,ELIOTT CHOP,5,36225,10 3 3 1 3 5 8 3 4 3 2 7
4,THE MAGIC MAN,8,85365,10 5 10 4 1 4 10 10 1 9 7 3
5,BEL ARISTO,7,82675,10 10 7 5 3 9 10 3 3 5 9 6
6,GREAT PROMISE,5,42025,2 8 6 9 5 1 5 7 3 2 7 10
7,TEMPLE GATE,6,52450,7 9 8 10 6 7 1 2 5 3 7 3
8,ASSIER,8,98150,8 9 5 10 10 9 3 2 7 10 2 5
9,LA MARAZUELA,5,16600,10 8 10 10 5 5 10 3 5 8  5 4
10,VERSION COX,5,29950,6 6 10 9 10 8 7 10 1 3  10 5
11,GAHERIS,7,57980,4 10 10 7 4 4 7 4 8 10 3 10
12,THECLIMB,7,109345,2 10 6 2 3 3 4 3 2 8 4 2
13,FAL DARA,5,22350,10 1 6 3 3 6 9 10 6 10 6 7
14,PARABAK,10,141990,10 10 1 8 3 9 10 10 2 10 1 10
15,MORELLO DI VENTO,5,7825,10 9 10 3 10 9 3 7  5 3 5 10
16,AND WE DANCED,6,42710,9 10 5 10 9 10 10 5 9 10 10  1
