N°,Cheval,S/A,Gain,Dernières performances
1,MISTER SALTOR,3,4610,10 3 7 3 6
2,MARVINA BELLA,3,1900,10 10 10 5
3,MORGANE DE TOI,3,6190,4 9 5 2
4,MOLINE DE PADD,3,5430,10 9 4 2
5,MIKA DE TOUCHYVON,3,,10
6,MY LOVE ALWAYS,3,6400,10  9 1 4
7,MAMJACK SACHA,3,6750,2 2
8,METEORE DE SIMM,3,7375,2 2
9,MAGIE DES GLENAN,3,,9 9
10,MAURICETTE BLUE,3,,8
11,MISS DISCO,3,,
