N°,Cheval,S/A,Gain,Dernières performances
1,LUCIO VERO,5,73660,9 10 1 1 1 4 4 2 2 8 1 6
2,MY HOPE,5,44700,10 7 1 1 1 3 3 9 1 8 4 10
3,PHILIPPO,5,41300,9 4 6 9 2 5 4  4 2 1 6 7
4,MEXICAN DREAM,7,124440,7 5 3 3 5 5 5 3 5 3 7 8
5,MAD RIVER,10,186970,1 2 1 1 4 8 3 4 4  2 10 8
6,COCOON QUATRE,5,44300,1 10 6 9 5 1 1 5 9 1 10  7
7,GLORIETTE SAN,5,55660,2 6 8 3 5 1 3 2 2 2  3 6
8,SHARP RISE,5,37375,4 9 3 4 8 7  8 6 1 6 2 4
9,FORZA SEDACA,8,99600,3 7 10 4 8 4 2 8 1 5 10 5
10,SWISS MONEY,5,48356,2 2 4 1 4 2 10 6 3 6 4 7
11,MOON DREAM,8,86039,7 8 5 1 8 4 4 3 4 9 9 10
12,KEY TO SUCCESS,8,40205,10 6 9 5 2 9 9 7 2 6 4  3
13,PRINCE OF DAWN,5,32640,6 7 4 4 3 3 10 7 6  6 1 2
14,KING OF MEADOWS,5,61490,7 7 3 1 3 9 6 2 4 2 7 4
15,NANTMOR,5,22650,1 1 9 5 10 9 4 10 10 4  4 8
16,AGAMEMNON,,,
