N°,Cheval,S/A,Gain,Dernières performances
1,LOOK D'AWA,4,10905,5 5 4 7 2 6 10 2 6
2,L'ANGELUS,4,11325,2 1 5 5
3,LOOPING MIL,4,12560,9 10 0 7 10 10 5 10 4 5 1 3
4,LE MIRACLE,4,12000,2 1 10
5,L'AZIMUT DU CEBE,4,12030,2  5 7 5 5 3 0 3
6,LOUSTIC DU VIVIER,4,10600,2 10 5 1 10
7,LUCKY DU DONJON,4,11390,0 4 3 4 2 5 8
8,LEFORT FLIGNY,,,
9,LORD DE BRION,4,8720,3 2 10
10,LOUVIERS,4,6075,10 10 10 1 10 10
11,LOOK DE LA COTE,4,6290,8 9 7 10 2 8 5 10
12,LYPSTIC ATOUT,4,9775,1 5 6
13,LUNICK DE FORGAN,4,675,5
