N°,Cheval,S/A,Gain,Dernières performances
1,KAID DES LANDES,5,4320,4 10 2 10 0 10 10 10
2,KRISTIANO BELLO,5,12400,1 1 5
3,KAWAII PURA VIDA,5,13540,10 7 2 0 4 5 3 10 2 7 10 7
4,KIND OF MUSIC,5,13800,10 5 1 10 1 5 10 5 0  0
5,KARNAC DU VIVIER,5,14245,4 7 4 4 10 3 8 7 0 4 10 10
6,KHAO LAK,5,14280,4 3 2 7 6 4 9 5 9 8 3 3
7,KEEP UNDER,5,14850,9 0 5 0 9 10 8 1 10 0 4  2
8,KEZIO JOSSELYN,5,15228,10 3 10 10 10 10 4  4 4 1 1 0
9,KALOU DES NOEES,5,26685,2 6 10 5 3 3 5 0 2 10 2 2
10,KOSMOS DU BOIS,5,28100,2 4 7 7 4 1 7 6 10 6 4  3
11,KELRAPIDE DU LUPIN,5,28880,10 1 1 2 10 4 2 10 2  2
12,KERLAZ D'AVE,5,29380,6 10 4 10 2 9 9 6 6 0 0  2
13,KILLER D'ENFER,5,31085,4 10 4 10 10 1 3 2 8 2 10 10
14,KATHEO WINDER,5,31435,8 3 2 0 1 3 6 3 8 6 8 0
15,KEOPS DE GODINIERE,5,31770,1 2 3 10 7 10 10 3 10 3 4 1
16,KING IMPERIAL,5,32750,3 5 7 3 10 10 5 0 6 4 0 0
