N°,Cheval,S/A,Gain,Dernières performances
1,KANDIDA BELLA,5,32500,5 1 8 1  6 10 4
2,KIRSEINEKO,5,21125,3 3 2 10 10 2 5 8  6 7 1 2
3,WALKYRIA,5,23920,4 3 7 8 6 3 1  3 9 4 9 4
4,KERKADOVA,5,53380,6 2 1  1
5,KIKOUNETTE,5,78510,1 10 2 10 10 8 4 1  5
6,KARA DIAMOND,5,175680,3 1 2 1 1 2 4
7,LITOTE DU LANNIER,5,27605,10 10 4 10 2 1 6 10 10  10 3
8,MAGMA DODVILLE,5,34820,5 10 4 10 10 10 5 3 1 2  6 8
9,MALINALAND  (IRE),5,,10 10
10,PREZIENNE DU LARGE,5,20340,5  10 2 2 7
